report_id,store_id,uptime_last_hour,uptime_last_day,uptime_last_week,downtime_last_hour,downtime_last_day,downtime_last_week
8JUk,4518233183474396,8.03,23.79,118.64,0.00,0.00,0.00
8JUk,5256638191399657,5.68,23.93,141.60,0.00,0.00,0.00
8JUk,47589556541767641,12.33,23.98,119.15,0.00,0.00,0.00
8JUk,86280978327987306,0.00,3.01,53.88,6.13,20.86,89.25
8JUk,87849527496468364,12.57,23.97,142.28,0.00,0.00,0.00
8JUk,88628218071357383,0.00,0.00,0.00,9.22,23.98,142.44
8JUk,88675705127108349,0.00,0.00,0.00,4.60,23.92,141.57
8JUk,88712362375492389,2.07,23.79,141.71,0.00,0.00,0.00
8JUk,91749266999228130,0.00,0.00,0.00,5.25,23.80,141.62
8JUk,91947023206290590,12.47,23.97,142.15,0.00,0.00,0.00
8JUk,92038577632884970,0.00,0.00,0.00,9.02,23.91,141.56
8JUk,92513589928799374,0.00,0.00,0.00,59.73,23.98,142.40
8JUk,97685427922386029,59.60,23.95,142.39,0.00,0.00,0.00
8JUk,97882969113201039,11.38,23.97,140.39,0.00,0.00,1.99
8JUk,47789779659473794,8.77,23.90,142.17,0.00,0.00,0.00
8JUk,51688007980769524,0.00,0.00,0.00,5.75,23.89,141.95
8JUk,55151290366655015,9.80,17.86,69.48,0.00,6.07,49.86
8JUk,98968564618185222,0.00,3.93,53.91,10.67,20.01,86.03
8JUk,55531008172952663,0.00,0.00,9.99,6.63,23.92,108.46
8JUk,55751279770776956,8.97,23.85,141.48,0.00,0.00,0.00
8JUk,56229334079274642,12.33,23.99,108.48,0.00,0.00,33.96
8JUk,58390747102684963,0.00,0.00,12.84,11.80,15.74,63.89
8JUk,59368808736334135,7.03,23.90,141.88,0.00,0.00,0.00
8JUk,59691302652894267,0.00,0.00,0.00,1.97,23.86,141.62
8JUk,60457724125785585,0.00,0.00,0.00,7.73,23.85,143.35
8JUk,64920356735768709,0.00,8.04,92.50,12.22,15.94,49.78
8JUk,65661685550961651,58.90,23.82,142.02,0.00,0.00,0.00
